Date,Open,High,Low,Close,Adj Close,Volume
2019-05-16,1.284588,1.285512,1.279034,1.284752,1.284752,0
2019-05-17,1.279787,1.279918,1.272135,1.279771,1.279771,0
2019-05-20,1.273026,1.275754,1.271682,1.273156,1.273156,0
2019-05-21,1.272783,1.279427,1.268617,1.272912,1.272912,0
2019-05-22,null,null,null,null,null,null
2019-05-23,1.266336,1.268343,1.260589,1.266416,1.266416,0
2019-05-24,1.266464,1.271715,1.264942,1.266464,1.266464,0
2019-05-27,1.272281,1.274860,1.266833,1.272475,1.272475,0
2019-05-28,1.268086,1.270002,1.265583,1.268231,1.268231,0
2019-05-29,1.265983,1.266961,1.261257,1.265967,1.265967,0
2019-05-30,1.262945,1.264063,1.258400,1.262945,1.262945,0
2019-05-31,1.260700,1.263647,1.256013,1.260970,1.260970,0
2019-06-03,1.264047,1.265823,1.261304,1.263951,1.263951,0
2019-06-04,1.266304,1.270584,1.264462,1.266416,1.266416,0
2019-06-05,1.270374,1.274405,1.269325,1.270277,1.270277,0
2019-06-06,1.268681,1.274194,1.266961,1.268858,1.268858,0
2019-06-07,1.269841,1.276178,1.268939,1.269841,1.269841,0
2019-06-10,1.272265,1.272912,1.265615,1.272297,1.272297,0
2019-06-11,1.269213,1.272767,1.267299,1.269116,1.269116,0
2019-06-12,1.272313,1.275868,1.268842,1.272443,1.272443,0
2019-06-13,1.269358,1.270567,1.266496,1.269342,1.269342,0
2019-06-14,1.267990,1.268392,1.259018,1.268006,1.268006,0
2019-06-17,1.259446,1.260557,1.255524,1.259604,1.259604,0
2019-06-18,1.254060,1.256092,1.250719,1.254154,1.254154,0
2019-06-19,1.256644,1.263855,1.254548,1.256660,1.256660,0
2019-06-20,1.265374,1.272572,1.265374,1.265663,1.265663,0
2019-06-21,1.270551,1.272443,1.264494,1.270793,1.270793,0
2019-06-24,1.275055,1.276666,1.271100,1.275087,1.275087,0
2019-06-25,1.273950,1.278396,1.271246,1.273966,1.273966,0
2019-06-26,1.269084,1.270696,1.266416,1.269068,1.269068,0
2019-06-27,1.269567,1.272426,1.266689,1.269841,1.269841,0
2019-06-28,1.267395,1.273415,1.266608,1.267748,1.267748,0
2019-07-01,1.269374,1.270810,1.263296,1.269454,1.269454,0
2019-07-02,1.264414,1.264862,1.258637,1.264462,1.264462,0
2019-07-03,1.259763,1.260239,1.255887,1.259827,1.259827,0
2019-07-04,1.258384,1.259287,1.257055,1.258273,1.258273,0
2019-07-05,1.258336,1.258701,1.248299,1.258305,1.258305,0
2019-07-08,1.252615,1.254076,1.250125,1.252552,1.252552,0
2019-07-09,1.251878,1.252035,1.244122,1.251643,1.251643,0
2019-07-10,1.245733,1.252113,1.244524,1.245858,1.245858,0
2019-07-11,1.250625,1.257229,1.250625,1.250813,1.250813,0
2019-07-12,1.252270,1.256266,1.252270,1.252348,1.252348,0
2019-07-15,1.257229,1.257640,1.251189,1.257197,1.257197,0
2019-07-16,1.252035,1.252035,1.239741,1.251799,1.251799,0
2019-07-17,1.240880,1.243936,1.238344,1.241203,1.241203,0
2019-07-18,1.243503,1.249547,1.242915,1.243472,1.243472,0
2019-07-19,1.254390,1.255493,1.249641,1.254186,1.254186,0
2019-07-22,1.251032,1.251564,1.245764,1.251283,1.251283,0
2019-07-23,1.247303,1.248175,1.242035,1.247489,1.247489,0
2019-07-24,1.243781,1.252129,1.242946,1.243905,1.243905,0
2019-07-25,1.248564,1.251799,1.246525,1.248595,1.248595,0
2019-07-26,1.245377,1.245951,1.237777,1.245345,1.245345,0
2019-07-29,1.237777,1.238390,1.221598,1.237670,1.237670,0
2019-07-30,1.221747,1.222016,1.212106,1.221747,1.221747,0
2019-07-31,1.215791,1.224680,1.214727,1.216160,1.216160,0
2019-08-01,1.215466,1.215466,1.208196,1.215377,1.215377,0
